RNR_pf,RNR$F
BABA.K,BABA
NYCB_pa.K,NYCB$A
TSM,TSM
WMT,WMT
V,V
JNJ,JNJ
PG,PG
JPM,JPM
UNH,UNH
MA,MA
HD,HD
BRKb,BRK.B
VZ,VZ
CRM,CRM
DIS,DIS
KO,KO
BAC,BAC
BRKa,BRK.A
PFE,PFE
MRK,MRK
NKE,NKE
T,T
TMO,TMO
ABT,ABT
TM,TM
NVS,NVS
ORCL.K,ORCL
DHR,DHR
MCD,MCD
NEE,NEE
ABBV.K,ABBV
ACN,ACN
MDT,MDT
UPS,UPS
XOM,XOM
BMY,BMY
SAP,SAP
CVX,CVX
CHL,CHL
LLY,LLY
SHOP.K,SHOP
LOW,LOW
NVO,NVO
UNP,UNP
LIN,LIN
HON,HON
PM,PM
HDB,HDB
AMT,AMT
SNE,SNE
LMT,LMT
RY,RY
IBM,IBM
NOW,NOW
BLK,BLK
MMM,MMM
WFC,WFC
BUD,BUD
C,C
MS,MS
GSK,GSK
UN,UN
BA,BA
HSBC.K,HSBC
BEKE.K,BEKE
FIS,FIS
CAT,CAT
EL,EL
SE,SE
RTX,RTX
SPGI.K,SPGI
TD,TD
TGT,TGT
SYK,SYK
DEO,DEO
TOT,TOT
ZTS,ZTS
SNOW.K,SNOW
SQ,SQ
CVS,CVS
AXP,AXP
BTI,BTI
PLD,PLD
SCHW.K,SCHW
CNI,CNI
ANTM.K,ANTM
BHP,BHP
DE,DE
RIO,RIO
BDX,BDX
FDX,FDX
MO,MO
CCI,CCI
UL,UL
D,D
DUK,DUK
CL,CL
GS,GS
GE,GE
SNAP.K,SNAP
CI,CI
SHW,SHW
SO,SO
TJX,TJX
INFY.K,INFY
ITW,ITW
BX,BX
APD,APD
UBER.K,UBER
CB,CB
USB,USB
ENB,ENB
TFC,TFC
HUM,HUM
VMW,VMW
MMC,MMC
VALE.K,VALE
PGR,PGR
ECL,ECL
ICE,ICE
DG,DG
ABB,ABB
SPOT.K,SPOT
TAK,TAK
BP,BP
NSC,NSC
MUFG.K,MUFG
BNS,BNS
MCO,MCO
NOC,NOC
GM,GM
BSX,BSX
GPN,GPN
RDSa,RDS.A
NEM,NEM
PNC,PNC
GOLD.K,GOLD
BAM,BAM
EW,EW
WBK,WBK
DELL.K,DELL
KMB,KMB
WM,WM
AON,AON
UBS,UBS
TWLO.K,TWLO
VEEV.K,VEEV
EQNR.K,EQNR
PHG,PHG
HCA,HCA
NGG,NGG
CEO,CEO
DD,DD
ETN,ETN
BBL,BBL
RDSb,RDS.B
PSA,PSA
CP,CP
DLR,DLR
HMC,HMC
TAL,TAL
SCCO.K,SCCO
BAX,BAX
RELX.K,RELX
EMR,EMR
TRI,TRI
BMO,BMO
ROP,ROP
TWTR.K,TWTR
GD,GD
TRP,TRP
NIO,NIO
RKT,RKT
SMFG.K,SMFG
ABEV.K,ABEV
BCE,BCE
SRE,SRE
IBN,IBN
GIS,GIS
EPD,EPD
LVS,LVS
CNC,CNC
CMG,CMG
LHX,LHX
CVNA.K,CVNA
RACE.K,RACE
DOW,DOW
APH,APH
MET,MET
COF,COF
CM,CM
PUK,PUK
TEL,TEL
SAN,SAN
INFO.K,INFO
CMI,CMI
WEC,WEC
A,A
TRV,TRV
COP,COP
TT,TT
JCI,JCI
ES,ES
ZTO,ZTO
BK,BK
F,F
IQV,IQV
PEG,PEG
CHWY.K,CHWY
PINS.K,PINS
PPG,PPG
KKR,KKR
CHT,CHT
BLL,BLL
CARR.K,CARR
BBY,BBY
HSY,HSY
ALC,ALC
YUM,YUM
MSCI.K,MSCI
STZ,STZ
MSI,MSI
SYY,SYY
ORAN.K,ORAN
AWK,AWK
RSG,RSG
ZBH,ZBH
ADM,ADM
STM,STM
WIT,WIT
ALL,ALL
AMX,AMX
ROK,ROK
W,W
ED,ED
KMI,KMI
VFC,VFC
U,U
EDU,EDU
ING,ING
CRH,CRH
CLX,CLX
HRL,HRL
RMD,RMD
PH,PH
AZO,AZO
CHA,CHA
SWK,SWK
AIG,AIG
WCN,WCN
MFC,MFC
OTIS.K,OTIS
APTV.K,APTV
FNV,FNV
DHI,DHI
KR,KR
TDG,TDG
QSR,QSR
FCX,FCX
E,E
LYG,LYG
TME,TME
PRU,PRU
AFL,AFL
CS,CS
MTD,MTD
GLW,GLW
PBR,PBR
RNG,RNG
CTVA.K,CTVA
HPQ,HPQ
DTE,DTE
MCK,MCK
FMS,FMS
HLT,HLT
LYB,LYB
BCS,BCS
MKC,MKC
WMB,WMB
NTR,NTR
SLF,SLF
NOK,NOK
AME,AME
LUV,LUV
YUMC.K,YUMC
CHD,CHD
WELL.K,WELL
K,K
TU,TU
PAYC.K,PAYC
BFb,BF.B
PANW.K,PANW
EIX,EIX
FRC,FRC
PPL,PPL
BSBR.K,BSBR
FTV,FTV
WST,WST
TSN,TSN
STT,STT
ETR,ETR
ARE,ARE
WY,WY
ROL,ROL
AEE,AEE
CHU,CHU
AJG,AJG
O,O
WPM,WPM
LEN,LEN
LH,LH
SLB,SLB
ABC,ABC
KEYS.K,KEYS
ITUB.K,ITUB
PSX,PSX
DFS,DFS
TDOC.K,TDOC
DB,DB
AMP,AMP
FCAU.K,FCAU
EOG,EOG
GWW,GWW
DAL,DAL
PCG,PCG
AVB,AVB
FLT,FLT
FTS,FTS
CNQ,CNQ
SPG,SPG
AEM,AEM
EC,EC
TEF,TEF
CMS,CMS
BBVA.K,BBVA
CAJ,CAJ
VMC,VMC
PBRa,PBR.A
CCC,CCC
MPC,MPC
NWG,NWG
PLTR.K,PLTR
BIP,BIP
COO,COO
MPLX.K,MPLX
EPAM.K,EPAM
CAG,CAG
