BABA.K,BABA
TSM,TSM
V,V
JNJ,JNJ
JPM,JPM
WMT,WMT
MA,MA
UNH,UNH
DIS,DIS
BRKb,BRK.B
PG,PG
HD,HD
BAC,BAC
BRKa,BRK.A
VZ,VZ
NKE,NKE
CRM,CRM
ABT,ABT
KO,KO
TMO,TMO
T,T
NVS,NVS
TM,TM
MRK,MRK
PFE,PFE
XOM,XOM
LLY,LLY
ORCL.K,ORCL
ABBV.K,ABBV
DHR,DHR
CVX,CVX
ACN,ACN
NEE,NEE
MCD,MCD
SAP,SAP
UL,UL
MDT,MDT
SHOP.K,SHOP
HDB,HDB
BMY,BMY
HON,HON
UNP,UNP
UPS,UPS
LIN,LIN
MS,MS
WFC,WFC
NVO,NVO
C,C
PM,PM
SNE,SNE
LOW,LOW
SE,SE
RY,RY
BA,BA
NOW,NOW
BLK,BLK
TOT,TOT
BUD,BUD
HSBC.K,HSBC
RTX,RTX
IBM,IBM
AMT,AMT
CAT,CAT
UBER.K,UBER
TD,TD
SQ,SQ
SCHW.K,SCHW
MMM,MMM
BHP,BHP
GS,GS
GE,GE
AXP,AXP
DEO,DEO
RIO,RIO
DE,DE
GSK,GSK
CVS,CVS
LMT,LMT
TGT,TGT
UN,UN
EL,EL
SYK,SYK
NIO,NIO
SNAP.K,SNAP
BTI,BTI
BX,BX
SNOW.K,SNOW
VALE.K,VALE
FIS,FIS
SPGI.K,SPGI
TJX,TJX
PLD,PLD
CI,CI
MO,MO
BEKE.K,BEKE
GM,GM
CNI,CNI
BDX,BDX
ZTS,ZTS
ANTM.K,ANTM
RDSa,RDS.A
INFY.K,INFY
CCI,CCI
BP,BP
ENB,ENB
DUK,DUK
CB,CB
TFC,TFC
CL,CL
USB,USB
BNS,BNS
ICE,ICE
SPOT.K,SPOT
SHW,SHW
FDX,FDX
ABB,ABB
PNC,PNC
SO,SO
RDSb,RDS.B
ITW,ITW
NSC,NSC
APD,APD
EQNR.K,EQNR
ECL,ECL
VMW,VMW
IBN,IBN
MUFG.K,MUFG
BAM,BAM
D,D
WBK,WBK
BBL,BBL
TWLO.K,TWLO
DASH.K,DASH
DELL.K,DELL
UBS,UBS
MMC,MMC
GPN,GPN
HCA,HCA
DD,DD
DDw,DD WD
TAK,TAK
PLTR.K,PLTR
SAN,SAN
SCCO.K,SCCO
BSX,BSX
EW,EW
MCO,MCO
PHG,PHG
PGR,PGR
EMR,EMR
NOC,NOC
HUM,HUM
RELX.K,RELX
STLA.K,STLA
TAL,TAL
COF,COF
BMO,BMO
CVNA.K,CVNA
ETN,ETN
NEM,NEM
AON,AON
DG,DG
WM,WM
CP,CP
CEO,CEO
TME,TME
HMC,HMC
EPD,EPD
ABEV.K,ABEV
PINS.K,PINS
KMB,KMB
VEEV.K,VEEV
MET,MET
COP,COP
SMFG.K,SMFG
GD,GD
TWTR.K,TWTR
PUK,PUK
CMG,CMG
F,F
TRI,TRI
NGG,NGG
CHWY.K,CHWY
ROP,ROP
DLR,DLR
RKT,RKT
TEL,TEL
FCX,FCX
DOW,DOW
TRP,TRP
PBR,PBR
RACE.K,RACE
PSA,PSA
RLX,RLX
U,U
LVS,LVS
GOLD.K,GOLD
BAX,BAX
BCE,BCE
TDOC.K,TDOC
CM,CM
INFO.K,INFO
APTV.K,APTV
APH,APH
LHX,LHX
LU,LU
A,A
STM,STM
SYY,SYY
ALC,ALC
XPEV.K,XPEV
STZ,STZ
PANW.K,PANW
JCI,JCI
KKR,KKR
BK,BK
E,E
RNG,RNG
ING,ING
SRE,SRE
MFC,MFC
TRV,TRV
IQV,IQV
MSCI.K,MSCI
GIS,GIS
WIT,WIT
TT,TT
MFG,MFG
CMI,CMI
CNC,CNC
PH,PH
CRH,CRH
ALL,ALL
CARR.K,CARR
AIG,AIG
PPG,PPG
BCS,BCS
ZBH,ZBH
AFL,AFL
CS,CS
LYG,LYG
BBVA.K,BBVA
HPQ,HPQ
TDG,TDG
YUM,YUM
PRU,PRU
VFC,VFC
SLB,SLB
ORAN.K,ORAN
KMI,KMI
CTVA.K,CTVA
AMX,AMX
HSY,HSY
CHT,CHT
SPG,SPG
MSI,MSI
ES,ES
EDU,EDU
RMD,RMD
PSX,PSX
PBRa,PBR.A
EOG,EOG
LYB,LYB
BLL,BLL
AWK,AWK
PEG,PEG
MPC,MPC
HLT,HLT
ROK,ROK
RSG,RSG
ZTO,ZTO
MTD,MTD
BSBR.K,BSBR
NTR,NTR
MCK,MCK
QSR,QSR
SWK,SWK
ADM,ADM
W,W
BBY,BBY
DHI,DHI
OTIS.K,OTIS
SLF,SLF
CNQ,CNQ
GLW,GLW
WEC,WEC
AZO,AZO
LUV,LUV
AME,AME
TU,TU
FRC,FRC
KEYS.K,KEYS
HRL,HRL
WCN,WCN
DFS,DFS
WMB,WMB
WELL.K,WELL
PXD,PXD
CLX,CLX
SU,SU
NET,NET
ITUB.K,ITUB
NWG,NWG
NOK,NOK
KR,KR
STT,STT
WORK.K,WORK
DAL,DAL
EC,EC
YUMC.K,YUMC
MPLX.K,MPLX
WY,WY
AMP,AMP
PAYC.K,PAYC
ED,ED
TEF,TEF
ANET.K,ANET
MT,MT
VLO,VLO
UMC,UMC
TSN,TSN
LEN,LEN
TLK,TLK
CAJ,CAJ
PCG,PCG
AVB,AVB
DTE,DTE
FNV,FNV
EQR,EQR
ARE,ARE
LH,LH
AJG,AJG
BFb,BF.B
CCEP.K,CCEP
O,O
FTV,FTV
BIP,BIP
EIX,EIX
MKC,MKC
CBRE.K,CBRE
EFX,EFX
MGA,MGA
WST,WST
ABC,ABC
DB,DB
APO,APO
PPL,PPL
FTCH.K,FTCH
FLT,FLT
VIPS.K,VIPS
BKR,BKR
SYF,SYF
EPAM.K,EPAM
BBD,BBD
CHD,CHD
FMS,FMS
ATUS.K,ATUS
IX,IX
BEPC.K,BEPC
VMC,VMC
K,K
CTLT.K,CTLT
GWW,GWW
KMX,KMX
GSX,GSX
IP,IP
OXY,OXY
KSU,KSU
ETR,ETR
UI,UI
FTS,FTS
SNN,SNN
CNHI.K,CNHI
PKX,PKX
WPM,WPM
COO,COO
MLM,MLM
BBDO.K,BBDO
OKE,OKE
CLVT.K,CLVT
GIB,GIB
TFX,TFX
RCI,RCI
ROL,ROL
HUBS.K,HUBS
CCL,CCL
IR,IR
URI,URI
ALB,ALB
WAT,WAT
AEE,AEE
ZEN,ZEN
PAGS.K,PAGS
VTR,VTR
HIG,HIG
TRU,TRU
DGX,DGX
ET,ET
AVTR.K,AVTR
XYL,XYL
MTB,MTB
TYL,TYL
FE,FE
KEY,KEY
DOV,DOV
AMCR.K,AMCR
AES,AES
RF,RF
BR,BR
INVH.K,INVH
CAG,CAG
PKI,PKI
AEM,AEM
GNRC.K,GNRC
HES,HES
BURL.K,BURL
NVR,NVR
CMS,CMS
PEAK.K,PEAK
STE,STE
NMR,NMR
CFG,CFG
SKM,SKM
SUZ,SUZ
VAR,VAR
LFC,LFC
DRI,DRI
CAH,CAH
HPE,HPE
HAL,HAL
ESS,ESS
MAA,MAA
QS,QS
RCL,RCL
DRE,DRE
EXR,EXR
LYV,LYV
NUE,NUE
MGP,MGP
MGM,MGM
ASX,ASX
LDOS.K,LDOS
WAB,WAB
SHG,SHG
DPZ,DPZ
ALLY.K,ALLY
FMX,FMX
VIV,VIV
BIO,BIO
KB,KB
SUI,SUI
IEX,IEX
CE,CE
CDAY.K,CDAY
PBA,PBA
AGR,AGR
BAP,BAP
MAS,MAS
RJF,RJF
FMC,FMC
GDDY.K,GDDY
VICI.K,VICI
CPB,CPB
TDY,TDY
ESTC.K,ESTC
ATHM.K,ATHM
BXP,BXP
AI,AI
GPC,GPC
ELAN.K,ELAN
MKL,MKL
IT,IT
AVLR.K,AVLR
EMN,EMN
J,J
TTM,TTM
FICO.K,FICO
BKI,BKI
CRL,CRL
KEP,KEP
OMC,OMC
TEVA.K,TEVA
IFF_w,IFFV
WPP,WPP
IFF,IFF
SAM,SAM
SJM,SJM
AVY,AVY
BEN,BEN
PKG,PKG
OSH,OSH
JHX,JHX
QGEN.K,QGEN
SMG,SMG
BRO,BRO
L,L
CHGG.K,CHGG
LN,LN
MPW,MPW
NTCO.K,NTCO
BEP,BEP
LUMN.K,LUMN
YSG,YSG
ARES.K,ARES
MOH,MOH
CABO.K,CABO
DVA,DVA
CVE,CVE
CCK,CCK
DT,DT
SNP,SNP
FBHS.K,FBHS
NI_pb,NI$B
LB,LB
PHM,PHM
EVRG.K,EVRG
IHG,IHG
FDS,FDS
FSLY.K,FSLY
WPC,WPC
WHR,WHR
GGG,GGG
NLY,NLY
CNP,CNP
ENIA.K,ENIA
WTRG.K,WTRG
ELS,ELS
BFa,BF.A
BAH,BAH
UDR,UDR
DVN,DVN
WRB,WRB
LW,LW
SPCE.K,SPCE
ATO,ATO
FNF,FNF
HWM,HWM
EQH,EQH
TREX.K,TREX
BILL.K,BILL
RPM,RPM
DAR,DAR
WRK,WRK
UHS,UHS
XPO,XPO
CNA,CNA
MTN,MTN
SKLZ.K,SKLZ
PLAN.K,PLAN
LII,LII
KL,KL
PWR,PWR
TXT,TXT
DNB,DNB
AAP,AAP
NRG,NRG
SBSW.K,SBSW
WLK,WLK
MHK,MHK
