PSA_pn,PSA$N
TSM,TSM
BABA.K,BABA
V,V
JPM,JPM
JNJ,JNJ
MA,MA
WMT,WMT
DIS,DIS
BRKb,BRK.B
UNH,UNH
BAC,BAC
PG,PG
HD,HD
XOM,XOM
BRKa,BRK.A
VZ,VZ
NKE,NKE
KO,KO
T,T
TM,TM
ABT,ABT
CVX,CVX
PFE,PFE
CRM,CRM
ABBV.K,ABBV
MRK,MRK
NVS,NVS
ORCL.K,ORCL
LLY,LLY
TMO,TMO
ACN,ACN
MCD,MCD
WFC,WFC
MDT,MDT
MS,MS
DHR,DHR
C,C
HDB,HDB
BA,BA
NEE,NEE
UL,UL
HON,HON
SAP,SAP
UNP,UNP
LIN,LIN
SHOP.K,SHOP
UPS,UPS
BMY,BMY
PM,PM
RY,RY
SNE,SNE
NVO,NVO
LOW,LOW
TOT,TOT
CAT,CAT
SCHW.K,SCHW
TD,TD
HSBC.K,HSBC
SE,SE
RTX,RTX
GS,GS
DE,DE
AXP,AXP
GE,GE
IBM,IBM
SQ,SQ
BLK,BLK
UBER.K,UBER
MMM,MMM
BHP,BHP
EL,EL
BUD,BUD
DEO,DEO
AMT,AMT
CVS,CVS
RIO,RIO
NOW,NOW
LMT,LMT
SNAP.K,SNAP
MO,MO
GSK,GSK
FIS,FIS
TGT,TGT
BX,BX
SYK,SYK
UN,UN
BP,BP
VALE.K,VALE
RDSa,RDS.A
BTI,BTI
CI,CI
ANTM.K,ANTM
SPGI.K,SPGI
CNI,CNI
GM,GM
INFY.K,INFY
USB,USB
CPNG.K,CPNG
TJX,TJX
TFC,TFC
CB,CB
PLD,PLD
BEKE.K,BEKE
BNS,BNS
COP,COP
RDSb,RDS.B
PNC,PNC
ENB,ENB
ZTS,ZTS
MUFG.K,MUFG
DUK,DUK
CCI,CCI
BDX,BDX
ITW,ITW
FDX,FDX
NIO,NIO
WBK,WBK
EQNR.K,EQNR
DELL.K,DELL
BAM,BAM
SNOW.K,SNOW
SO,SO
NSC,NSC
ICE,ICE
CL,CL
SHW,SHW
TWLO.K,TWLO
GPN,GPN
HCA,HCA
ABB,ABB
BBL,BBL
VMW,VMW
ECL,ECL
APD,APD
